Entity,Year,Number of Internet Users by Country (World Bank (2015))
Turkey,1996,118885.004
Turkey,1997,301862.065
Turkey,1998,429157.428
Turkey,1999,1431606.917
Turkey,2000,2400630.354
Turkey,2001,3333215.444
Turkey,2002,7412542.2
Turkey,2003,8110406.595
Turkey,2004,9759462.71
Turkey,2005,10500173.06
Turkey,2006,12489993.33
Turkey,2007,19876002.72
Turkey,2008,24205047.78
Turkey,2009,25931753.12
Turkey,2010,28710743.31
Turkey,2011,29077337.92
Turkey,2012,31892762.17
Turkey,2013,33794621.09
Turkmenistan,1992,65993.541
Turkmenistan,2000,4501.419
Turkmenistan,2001,9103.524
Turkmenistan,2002,13800.513
Turkmenistan,2003,18592.148
Turkmenistan,2004,37575.008
Turkmenistan,2005,47478.39
Turkmenistan,2006,62420.735
Turkmenistan,2007,68015.304
Turkmenistan,2008,88515.774
Turkmenistan,2009,99579.24
Turkmenistan,2010,151259.85
Turkmenistan,2011,153200.04
Turkmenistan,2012,258646.55
Turkmenistan,2013,377285.184
Tuvalu,1992,72.824
Tuvalu,2000,489.788
Tuvalu,2007,976.4
Tuvalu,2008,1468.2
Tuvalu,2009,1961.6
Tuvalu,2010,2456.75
Tuvalu,2011,2461
Tuvalu,2012,2958
Tuvalu,2013,3456.6
Uganda,1992,18788.44
Uganda,1998,22780.451
Uganda,1999,23507.8
Uganda,2000,48551.282
Uganda,2001,50176.066
Uganda,2002,103773.764
Uganda,2003,134192.14
Uganda,2004,194368.902
Uganda,2005,488322.773
Uganda,2006,742784.925
Uganda,2007,1136963.639
Uganda,2008,2510525.121
Uganda,2009,3220704.144
Uganda,2010,4248401.625
Uganda,2011,4393508
Uganda,2012,4724961.8
Uganda,2013,5524094.772
Ukraine,1992,208601.064
Ukraine,1996,51057.189
Ukraine,1997,101188.21
Ukraine,1998,150431.817
Ukraine,1999,198693.4
Ukraine,2000,344230.936
Ukraine,2001,584206.38
Ukraine,2002,915847.5
Ukraine,2003,1482201.45
Ukraine,2004,1660806
Ukraine,2005,1742890.55
Ukraine,2006,2105448.75
Ukraine,2007,3069617.1
Ukraine,2008,5088402
Ukraine,2009,8243540.7
Ukraine,2010,10687873.1
Ukraine,2011,10649521.3
Ukraine,2012,13085277.1
Ukraine,2013,16057828.8
United Arab Emirates,1995,2346.305
United Arab Emirates,1996,9883.24
United Arab Emirates,1997,86096.769
United Arab Emirates,1998,189991.362
United Arab Emirates,1999,431153.552
United Arab Emirates,2000,714219.072
United Arab Emirates,2001,823743.352
United Arab Emirates,2002,912383.227
United Arab Emirates,2003,993929.93
United Arab Emirates,2004,1101256.058
United Arab Emirates,2005,1659553.2
United Arab Emirates,2006,2535332.28
United Arab Emirates,2007,3536381.67
United Arab Emirates,2008,4283140.05
United Arab Emirates,2009,4939724.16
United Arab Emirates,2010,5740245.16
United Arab Emirates,2011,6069065.28
United Arab Emirates,2012,7180407.78
United Arab Emirates,2013,7944209.65
United Kingdom,1990,57247.586
United Kingdom,1991,114849.794
United Kingdom,1993,288593.07
United Kingdom,1994,578657.45
United Kingdom,1995,1102361.57
United Kingdom,1996,2384844.95
United Kingdom,1997,4315454.596
United Kingdom,1998,8012738.317
United Kingdom,1999,12499365.26
United Kingdom,2000,15783193.75
United Kingdom,2001,19805090.46
United Kingdom,2002,33544320.64
United Kingdom,2003,36563964.7
United Kingdom,2004,39352065.68
United Kingdom,2005,42280844.2
United Kingdom,2006,41862612.16
United Kingdom,2007,46053169.71
United Kingdom,2008,48456684.08
United Kingdom,2009,52062961.72
United Kingdom,2010,53351410.25
United Kingdom,2011,53770080.3
United Kingdom,2012,54400056.2
United Kingdom,2013,56093431.63
United States,1990,1996984
United States,1991,3035772
United States,1992,769542
United States,1993,5978137
United States,1994,12893174
United States,1995,24497576
United States,1996,44180616
United States,1997,58893912
United States,1998,83032054
United States,1999,99896320
United States,2000,121611999.1
United States,2001,139919756.9
United States,2002,169123613.5
United States,2003,178996594.7
United States,2004,189737833.1
United States,2005,200951287.3
United States,2006,205583759.4
United States,2007,225923405.3
United States,2008,225029534.8
United States,2009,217807785.6
United States,2010,221801839.9
United States,2011,223504410.1
United States,2012,218936118.4
United States,2013,250982542.1
Uruguay,1992,9463.971
Uruguay,1995,9673.149
Uruguay,1996,58456.53
Uruguay,1997,111198.666
Uruguay,1998,230417.39
Uruguay,1999,330888.4
Uruguay,2000,348688.305
Uruguay,2001,369270.582
Uruguay,2002,379335
Uruguay,2003,528740.349
Uruguay,2004,568373.562
Uruguay,2005,668356.155
Uruguay,2006,979083.798
Uruguay,2007,1135050.56
Uruguay,2008,1316116.914
Uruguay,2009,1404660.158
Uruguay,2010,1564599.648
Uruguay,2011,1569937.504
Uruguay,2012,1745160.042
Uruguay,2013,1856848.79
Uzbekistan,1992,64347
Uzbekistan,2000,123252
Uzbekistan,2001,149786.7
Uzbekistan,2002,277990.35
Uzbekistan,2003,485785.35
Uzbekistan,2004,672473.1
Uzbekistan,2005,863511
Uzbekistan,2006,1695248
Uzbekistan,2007,2015100
Uzbekistan,2008,2484554.8
Uzbekistan,2009,4748225.4
Uzbekistan,2010,5712480
Uzbekistan,2011,5867880
Uzbekistan,2012,8991899
Uzbekistan,2013,11038768
Vanuatu,1992,465.726
Vanuatu,1996,171.802
Vanuatu,1997,175.004
Vanuatu,1998,534.222
Vanuatu,1999,906.73
Vanuatu,2000,3886.218
Vanuatu,2001,5299.98
Vanuatu,2002,6788.25
Vanuatu,2003,7759.128
Vanuatu,2004,9594.345
Vanuatu,2005,10678.125
Vanuatu,2006,12664.586
Vanuatu,2007,14960.068
Vanuatu,2008,16454.054
Vanuatu,2009,17312.475
Vanuatu,2010,18903.92
Vanuatu,2011,19342.24
Vanuatu,2012,22748.104
Vanuatu,2013,26792.878
Venezuela,1992,20691.641
Venezuela,1995,22092.144
Venezuela,1996,45113.676
Venezuela,1997,92080.736
Venezuela,1998,328757.8
Venezuela,1999,670460.056
Venezuela,2000,829856.802
Venezuela,2001,1144040.286
Venezuela,2002,1241347.478
Venezuela,2003,1934791.425
Venezuela,2004,2205951.384
Venezuela,2005,3367463.022
Venezuela,2006,4133014.064
Venezuela,2007,5752434.896
Venezuela,2008,7283160.808
Venezuela,2009,9346654.08
Venezuela,2010,10862187.84
Venezuela,2011,11033233.75
Venezuela,2012,12041822.36
Venezuela,2013,14928956.64
Vietnam,1992,205350.3
Vietnam,1999,76596.7
Vietnam,2000,232892.7
Vietnam,2001,1022066.5
Vietnam,2002,1511216.3
Vietnam,2003,3057761.2
Vietnam,2004,6189166.4
Vietnam,2005,10463796.7
Vietnam,2006,14412837.6
Vietnam,2007,17517448
Vietnam,2008,20343369.3
Vietnam,2009,22882650
Vietnam,2010,26688277.5
Vietnam,2011,26966880
Vietnam,2012,31159287.9
Vietnam,2013,35435015.5
Zambia,1992,8229.48
Zambia,1999,9839.179
Zambia,2000,20201.962
Zambia,2001,20724.274
Zambia,2002,53127.115
Zambia,2003,108945.19
Zambia,2004,223493
Zambia,2005,332630.638
Zambia,2006,494827.704
Zambia,2007,593371.38
Zambia,2008,697565.512
Zambia,2009,807976.953
Zambia,2010,1321698.5
Zambia,2011,1363379.6
Zambia,2012,1618636.385
Zambia,2013,1962716.4
Zimbabwe,1992,10981.267
Zimbabwe,1998,12229.5
Zimbabwe,1999,24769.454
Zimbabwe,2000,50014.608
Zimbabwe,2001,100694.104
Zimbabwe,2002,505636.88
Zimbabwe,2003,811078.592
Zimbabwe,2004,837741.102
Zimbabwe,2005,1016847.12
Zimbabwe,2006,1246982.184
Zimbabwe,2007,1388677.44
Zimbabwe,2008,1457380.674
Zimbabwe,2009,1469336.652
Zimbabwe,2010,1503852.47
Zimbabwe,2011,1536254.87
Zimbabwe,2012,2154717.769
Zimbabwe,2013,2419589.808
