Entity,Year,Patent application rates (OWID based on World Bank & UN),"Patent application rates, nonresidents (OWID based on World Bank & UN)",Scientific and technical journal publication rates (OWID based on World Bank & UN),"Patent application rates, aged 15+ (OWID based on World Bank & UN)","Patent application rates, aged 15+, nonresidents (OWID based on World Bank & UN)","Scientific and technical journal publication rates, aged 15+ (OWID based on World Bank & UN)"
Saint Lucia,2000,,,1.911,,,0.028
Saint Lucia,2001,,44.174,,,0.645,
Saint Lucia,2002,,,6.259,,,0.09
Saint Lucia,2005,,,1.832,,,0.026
Saint Lucia,2006,,,3.023,,,0.042
Saint Lucia,2007,,,5.38,,,0.074
Saint Lucia,2008,,,1.182,,,0.016
Saint Lucia,2010,,,13.327,,,0.178
Saint Lucia,2011,,,5.753,,,0.076
Saint Lucia,2012,,,1.144,,,0.015
Saint Lucia,2013,,,4.554,,,0.06
Saint Vincent and the Grenadines,1996,,74.023,,,1.118,
Saint Vincent and the Grenadines,2000,,18.536,1.854,,0.27,0.027
Saint Vincent and the Grenadines,2002,,,0.925,,,0.013
Saint Vincent and the Grenadines,2003,,,7.383,,,0.105
Saint Vincent and the Grenadines,2004,,,0.921,,,0.013
Saint Vincent and the Grenadines,2006,,,6.428,,,0.089
Saint Vincent and the Grenadines,2007,,,11.004,,,0.152
Saint Vincent and the Grenadines,2009,,,10.068,,,0.138
Saint Vincent and the Grenadines,2010,,,4.574,,,0.062
Saint Vincent and the Grenadines,2011,,,0.915,,,0.012
Saint Vincent and the Grenadines,2012,,18.294,12.806,,0.246,0.172
Saint Vincent and the Grenadines,2013,,73.18,20.124,,0.979,0.269
Saint Vincent and the Grenadines,2014,,73.155,,,0.973,
Saint Vincent and the Grenadines,2015,,63.953,,,0.847,
Samoa,1985,,24.995,,,0.437,
Samoa,1991,,12.189,,,0.204,
Samoa,1995,,11.754,,,0.198,
Samoa,1996,,17.515,,,0.295,
Samoa,2000,,,26.917,,,0.454
Samoa,2001,,,20.505,,,0.344
Samoa,2002,,,33.979,,,0.567
Samoa,2003,,39.401,21.389,,0.656,0.356
Samoa,2004,,11.187,26.848,,0.186,0.446
Samoa,2005,,,28.345,,,0.469
Samoa,2006,,,51.907,,,0.855
Samoa,2007,,60.345,27.978,,0.99,0.459
Samoa,2008,,,15.257,,,0.249
Samoa,2009,,,29.217,,,0.475
Samoa,2010,,,32.76,,,0.531
Samoa,2011,,,35.169,,,0.569
Samoa,2012,,,13.214,,,0.213
Samoa,2013,,,20.969,,,0.337
Samoa,2014,5.2,514.847,,0.083,8.238,
Samoa,2015,5.161,15.483,,0.082,0.247,
San Marino,2000,,,80.239,,,0.802
San Marino,2001,,,39.623,,,0.396
San Marino,2003,,,7.019,,,0.07
San Marino,2004,,,20.786,,,0.208
San Marino,2005,,,44.46,,,0.445
San Marino,2006,,,23.637,,,0.236
San Marino,2007,,,63.382,,,0.634
San Marino,2008,,,158.15,,,1.581
San Marino,2009,,,45.568,,,0.456
San Marino,2010,,,41.787,,,0.418
San Marino,2011,,,73.007,,,0.73
San Marino,2012,,,178.605,,,1.786
San Marino,2013,,,210.507,,,2.105
Sao Tome and Principe,2000,,,2.886,,,0.052
Sao Tome and Principe,2001,,,5.649,,,0.102
Sao Tome and Principe,2002,,,4.141,,,0.074
Sao Tome and Principe,2003,,,12.806,,,0.228
Sao Tome and Principe,2004,,,3.948,,,0.07
Sao Tome and Principe,2005,,,1.928,,,0.034
Sao Tome and Principe,2006,,,6.276,,,0.111
Sao Tome and Principe,2007,,,7.971,,,0.141
Sao Tome and Principe,2009,,5.854,7.611,,0.103,0.134
Sao Tome and Principe,2010,,5.722,12.588,,0.101,0.222
Sao Tome and Principe,2011,,11.186,,,0.197,
Sao Tome and Principe,2012,,,2.734,,,0.048
Sao Tome and Principe,2013,,42.77,6.416,,0.75,0.113
Sao Tome and Principe,2014,,15.685,,,0.274,
Saudi Arabia,1989,0.762,3.681,,0.013,0.064,
Saudi Arabia,1990,0.98,26.888,,0.017,0.464,
Saudi Arabia,1991,1.601,29.168,,0.028,0.504,
Saudi Arabia,1992,1.208,34.812,,0.021,0.602,
Saudi Arabia,1993,1.176,40.818,,0.02,0.705,
Saudi Arabia,1994,1.802,37.518,,0.031,0.645,
Saudi Arabia,1995,1.494,38.322,,0.026,0.655,
Saudi Arabia,1996,1.411,42.338,,0.024,0.71,
Saudi Arabia,1997,2.922,51.319,,0.048,0.846,
Saudi Arabia,1998,2.263,64.68,,0.037,1.051,
Saudi Arabia,1999,3.548,56.37,,0.057,0.907,
Saudi Arabia,2000,3.66,38.383,70.876,0.058,0.612,1.13
Saudi Arabia,2001,2.159,32.06,69.345,0.034,0.506,1.094
Saudi Arabia,2002,2.785,25.198,69.313,0.043,0.393,1.08
Saudi Arabia,2003,2.483,21.59,73.589,0.038,0.332,1.132
Saudi Arabia,2004,3.487,17.005,72.72,0.053,0.258,1.105
Saudi Arabia,2005,4.978,15.645,72.125,0.075,0.235,1.084
Saudi Arabia,2006,4.842,17.048,76.299,0.072,0.253,1.133
Saudi Arabia,2007,5.069,25.423,79.279,0.074,0.373,1.165
Saudi Arabia,2008,,,86.077,,,1.254
Saudi Arabia,2009,,,108.584,,,1.57
Saudi Arabia,2010,10.501,23.445,136.948,0.151,0.337,1.968
Saudi Arabia,2011,12.288,22.771,184.326,0.175,0.325,2.631
Saudi Arabia,2012,,,214.09,,,3.037
Saudi Arabia,2013,16.397,14.694,254.992,0.231,0.207,3.598
Saudi Arabia,2014,21.185,4.386,,0.298,0.062,
Saudi Arabia,2015,22.657,53.585,,0.317,0.75,
Senegal,2000,,,11.847,,,0.216
Senegal,2001,,,10.42,,,0.189
Senegal,2002,,,10.436,,,0.189
Senegal,2003,,,15.594,,,0.281
Senegal,2004,,,11.847,,,0.213
Senegal,2005,,,14.789,,,0.264
Senegal,2006,,,12.088,,,0.216
Senegal,2007,,,14.309,,,0.255
Senegal,2008,,,13.979,,,0.249
Senegal,2009,,,14.166,,,0.252
Senegal,2010,,,15.391,,,0.273
Senegal,2011,,,20.675,,,0.367
Senegal,2012,,,21.746,,,0.386
Senegal,2013,,,20.949,,,0.372
Serbia,2000,,,156.765,,,1.977
Serbia,2001,,,149.785,,,1.883
Serbia,2002,,,158.447,,,1.983
Serbia,2003,,,164.024,,,2.041
Serbia,2004,63.378,92.99,168.829,0.785,1.151,2.09
Serbia,2005,49.995,81.846,240.257,0.616,1.009,2.961
Serbia,2006,58.287,36.834,245.427,0.715,0.452,3.009
Serbia,2007,53.512,16.392,335.565,0.653,0.2,4.096
Serbia,2008,52.515,32.244,394.179,0.639,0.392,4.794
Serbia,2009,43.574,5.464,479.428,0.528,0.066,5.812
Serbia,2010,39.773,5.349,541.416,0.481,0.065,6.542
Serbia,2011,24.882,6.773,651.332,0.3,0.082,7.851
Serbia,2012,26.67,4.445,777.794,0.321,0.053,9.354
Serbia,2013,28.056,2.792,721.525,0.337,0.033,8.658
Serbia,2014,28.329,1.402,,0.339,0.017,
Serbia,2015,25.087,1.832,,0.3,0.022,
Seychelles,1985,,30.654,,,0.473,
Seychelles,1988,,72.722,,,1.129,
Seychelles,1995,,13.28,,,0.193,
Seychelles,1996,,78.517,,,1.136,
Seychelles,2000,,,60.396,,,0.846
Seychelles,2001,,,48.028,,,0.663
Seychelles,2002,,,82.415,,,1.125
Seychelles,2003,,,115.969,,,1.569
Seychelles,2004,,,60.624,,,0.814
Seychelles,2005,,,59.137,,,0.788
Seychelles,2006,,,106.383,,,1.413
Seychelles,2007,,,144.65,,,1.911
Seychelles,2008,,,133.401,,,1.75
Seychelles,2009,,,81.331,,,1.059
Seychelles,2010,,,86.889,,,1.124
Seychelles,2011,,,113.219,,,1.466
Seychelles,2012,,,110.982,,,1.439
Seychelles,2013,,,171.208,,,2.225
Sierra Leone,1995,,1.17,,,0.021,
Sierra Leone,2000,,,0.986,,,0.018
Sierra Leone,2001,,,0.76,,,0.014
Sierra Leone,2002,,,0.686,,,0.012
Sierra Leone,2003,,,0.481,,,0.009
Sierra Leone,2004,,,0.809,,,0.014
Sierra Leone,2005,,,1.149,,,0.02
Sierra Leone,2006,,,0.872,,,0.016
Sierra Leone,2007,,,0.948,,,0.017
Sierra Leone,2008,,,1.476,,,0.026
Sierra Leone,2009,,,1.727,,,0.031
Sierra Leone,2010,,,1.889,,,0.033
Sierra Leone,2011,,,2.102,,,0.037
Sierra Leone,2012,,,2.409,,,0.042
Sierra Leone,2013,,,2.167,,,0.038
Singapore,1985,1.462,366.599,,0.019,4.843,
Singapore,1995,41.141,684.351,,0.529,8.802,
Singapore,1996,61.024,3366.384,,0.787,43.439,
Singapore,1997,75.869,1593.24,,0.978,20.544,
Singapore,1998,79.191,1621.252,,1.017,20.827,
Singapore,1999,94.475,1687.16,,1.208,21.573,
Singapore,2000,128.107,1916.638,1054.896,1.631,24.404,13.432
Singapore,2001,126.389,1965.437,1086.415,1.597,24.84,13.731
Singapore,2002,149.427,1813.959,1144.314,1.876,22.777,14.369
Singapore,2003,152.133,1761.435,1298.427,1.9,21.999,16.216
Singapore,2004,153.84,1906.561,1735.705,1.912,23.696,21.572
Singapore,2005,133.388,1883.837,1818.456,1.65,23.3,22.492
Singapore,2006,142.229,1939.626,1814.346,1.753,23.902,22.358
Singapore,2007,151.68,2016.956,1746.742,1.862,24.762,21.444
Singapore,2008,163.863,1838.866,1749.888,2.003,22.475,21.388
Singapore,2009,150.374,1601.18,1764.325,1.829,19.472,21.456
Singapore,2010,176.295,1748.763,1894.329,2.133,21.157,22.918
Singapore,2011,203.716,1685.672,1909.162,2.453,20.299,22.99
Singapore,2012,203.485,1619.596,1995.751,2.439,19.416,23.926
Singapore,2013,211.7,1588.95,1974.103,2.527,18.968,23.565
Singapore,2014,238.22,1647.067,,2.832,19.58,
Singapore,2015,265.402,1688.346,,3.142,19.991,
Slovakia,1993,52.955,127.88,,0.696,1.682,
Slovakia,1994,46.387,115.967,,0.605,1.513,
Slovakia,1995,50.168,261.097,,0.649,3.38,
Slovakia,1996,36.29,278.783,,0.466,3.582,
Slovakia,1997,41.61,293.129,,0.53,3.737,
Slovakia,1998,39.514,299.044,,0.5,3.782,
Slovakia,1999,39.474,311.897,,0.495,3.913,
Slovakia,2000,43.795,334.773,365.783,0.545,4.168,4.554
Slovakia,2001,45.735,315.308,369.892,0.565,3.893,4.567
Slovakia,2002,48.169,297.383,381.148,0.59,3.644,4.67
Slovakia,2003,39.082,267.43,387.559,0.476,3.255,4.717
Slovakia,2004,40.02,44.301,423.023,0.484,0.536,5.116
Slovakia,2005,28.849,17.682,461.677,0.347,0.213,5.549
Slovakia,2006,35.92,16.75,482.724,0.43,0.2,5.774
Slovakia,2007,44.468,19.722,506.305,0.53,0.235,6.029
Slovakia,2008,31.045,13.943,611.091,0.368,0.165,7.249
Slovakia,2009,32.675,11.696,576.637,0.386,0.138,6.819
Slovakia,2010,43.402,8.903,640.35,0.512,0.105,7.554
Slovakia,2011,41.494,6.113,703.062,0.489,0.072,8.286
Slovakia,2012,31.068,6.472,773.766,0.366,0.076,9.112
Slovakia,2013,33.99,4.803,873.74,0.4,0.057,10.286
Slovakia,2014,38.94,4.245,,0.458,0.05,
Slovakia,2015,42.037,5.162,,0.495,0.061,
Slovenia,1991,10.503,0.5,,0.132,0.006,
Slovenia,1992,94.165,204.859,,1.175,2.556,
Slovenia,1993,139.074,393.624,,1.723,4.878,
Slovenia,1994,143.759,203.072,,1.769,2.499,
Slovenia,1995,157.799,58.295,,1.93,0.713,
Slovenia,1996,144.823,101.075,,1.759,1.227,
Slovenia,1997,133.941,119.842,,1.616,1.446,
Slovenia,1998,145.335,64.089,,1.744,0.769,
Slovenia,1999,131.616,69.59,,1.571,0.831,
Slovenia,2000,154.355,62.345,820.091,1.833,0.74,9.74
Slovenia,2001,151.1,53.713,772.969,1.786,0.635,9.138
Slovenia,2002,150.411,50.638,857.345,1.769,0.596,10.086
Slovenia,2003,155.331,30.064,995.524,1.819,0.352,11.656
Slovenia,2004,171.256,21.031,941.306,1.997,0.245,10.978
Slovenia,2005,171.959,14.497,1155.126,2,0.169,13.435
Slovenia,2006,143.009,5.979,1191.508,1.66,0.069,13.83
Slovenia,2007,164.014,7.433,1317.363,1.902,0.086,15.279
Slovenia,2008,148.913,2.968,1472.308,1.728,0.034,17.08
Slovenia,2009,182.873,5.883,1560.694,2.123,0.068,18.119
Slovenia,2010,215.759,5.37,1571.281,2.507,0.062,18.257
Slovenia,2011,228.951,5.358,1765.503,2.665,0.062,20.553
Slovenia,2012,,,1725.875,,,20.129
Slovenia,2013,,,1705.961,,,19.933
Small states,2000,,,52.83,,,0.819
Small states,2001,,,57.846,,,0.891
Small states,2002,,,61.325,,,0.939
Small states,2003,,,65.761,,,1.001
Small states,2004,,,74.005,,,1.12
Small states,2005,,,83.262,,,1.252
Small states,2006,,,92.303,,,1.376
Small states,2007,,,101.664,,,1.502
Small states,2008,,,110.536,,,1.62
Small states,2009,,,119.111,,,1.733
Small states,2010,,,130.287,,,1.883
Small states,2011,,,134.432,,,1.936
Small states,2012,,,145.391,,,2.088
Small states,2013,,,155.076,,,2.222
Solomon Islands,1985,,14.771,,,0.282,
Solomon Islands,1986,,28.69,,,0.545,
Solomon Islands,1987,,20.916,,,0.394,
Solomon Islands,1988,,6.78,,,0.127,
Solomon Islands,1989,,6.595,,,0.122,
Solomon Islands,2000,,,9.21,,,0.159
Solomon Islands,2001,,,5.19,,,0.089
Solomon Islands,2002,,,2.068,,,0.035
Solomon Islands,2003,,,10.968,,,0.188
Solomon Islands,2004,,,5.673,,,0.097
Solomon Islands,2005,,,6.597,,,0.112
Solomon Islands,2006,,,13.709,,,0.233
Solomon Islands,2007,,,8.723,,,0.148
Solomon Islands,2008,,,5.749,,,0.097
Solomon Islands,2009,,,6.588,,,0.111
Solomon Islands,2010,,,14.779,,,0.249
Solomon Islands,2011,,,13.714,,,0.231
Solomon Islands,2012,,,9.066,,,0.152
Solomon Islands,2013,,,7.631,,,0.127
Somalia,1985,,1.031,,,0.018,
Somalia,2000,,,0.033,,,0.001
Somalia,2002,,,0.073,,,0.001
Somalia,2003,,,0.183,,,0.003
Somalia,2004,,,0.109,,,0.002
Somalia,2006,,,0.093,,,0.002
Somalia,2008,,,0.097,,,0.002
Somalia,2009,,,0.154,,,0.003
Somalia,2010,,,0.265,,,0.005
Somalia,2011,,,0.234,,,0.004
Somalia,2012,,,0.11,,,0.002
Somalia,2013,,,0.48,,,0.009
South Africa,1985,122.821,177.334,,2.064,2.979,
South Africa,1986,140.217,149.584,,2.348,2.505,
South Africa,1987,142.82,140.556,,2.38,2.343,
South Africa,1988,137.205,139.364,,2.274,2.31,
South Africa,1989,142.749,134.63,,2.352,2.219,
South Africa,1990,29.706,134.344,,0.486,2.2,
South Africa,1991,27.141,123.473,,0.441,2.004,
South Africa,1992,22.977,114.447,,0.369,1.84,
South Africa,1993,22.817,108.078,,0.363,1.721,
South Africa,1994,23.053,122.49,,0.364,1.932,
South Africa,1995,21.315,132.33,,0.333,2.068,
South Africa,1996,17.934,144.87,,0.279,2.253,
South Africa,1997,8.271,161.155,,0.128,2.497,
South Africa,1998,4.589,164.969,,0.071,2.55,
South Africa,1999,3.12,67.867,,0.048,1.046,
South Africa,2000,19.935,53.456,78.992,0.306,0.821,1.213
South Africa,2001,21.318,119.767,80.88,0.326,1.831,1.236
South Africa,2002,21.437,122.494,90.024,0.325,1.859,1.366
South Africa,2003,19.863,114.244,87.823,0.299,1.719,1.322
South Africa,2004,20.34,124.102,98.024,0.304,1.852,1.463
South Africa,2005,21.068,126.054,102.952,0.312,1.868,1.526
South Africa,2006,17.954,139.715,113.723,0.264,2.057,1.674
South Africa,2007,18.718,151.42,117.104,0.274,2.219,1.716
South Africa,2008,17.354,142.884,123.842,0.253,2.087,1.809
South Africa,2009,16.356,117.658,138.286,0.238,1.712,2.012
South Africa,2010,16.105,109.103,147.726,0.233,1.58,2.139
South Africa,2011,12.681,127.375,163.766,0.183,1.839,2.365
South Africa,2012,11.58,130.193,170.558,0.166,1.87,2.45
South Africa,2013,11.967,124.869,181.556,0.171,1.782,2.591
South Africa,2014,14.812,124.661,,0.21,1.769,
South Africa,2015,16.16,120.119,,0.228,1.698,
South Asia,1985,1.037,2.638,,0.017,0.044,
South Asia,1986,1.005,2.585,,0.017,0.043,
South Asia,1987,0.993,2.556,,0.016,0.042,
South Asia,1988,0.999,2.496,,0.016,0.041,
South Asia,1989,1,2.5,,0.016,0.041,
South Asia,1990,1.081,2.962,,0.018,0.049,
South Asia,1991,1.173,2.59,,0.019,0.042,
South Asia,1992,1.161,2.505,,0.019,0.041,
South Asia,1993,1.092,2.713,,0.018,0.044,
South Asia,1994,1.376,3.188,,0.022,0.051,
South Asia,1995,1.362,4.743,,0.022,0.076,
South Asia,1996,1.361,6.184,,0.022,0.099,
South Asia,1997,1.588,7.319,,0.025,0.116,
South Asia,1998,1.78,6.232,,0.028,0.098,
South Asia,1999,1.777,3.054,,0.028,0.048,
South Asia,2000,1.726,5.755,16.31,0.027,0.09,0.254
South Asia,2001,1.853,6.978,16.866,0.029,0.108,0.261
South Asia,2002,2.027,7.149,17.826,0.031,0.11,0.274
South Asia,2003,2.485,7.32,19.348,0.038,0.112,0.296
South Asia,2004,2.86,10.03,20.996,0.043,0.152,0.319
South Asia,2005,3.347,14.087,24.123,0.051,0.213,0.364
South Asia,2006,3.873,16.558,27.652,0.058,0.249,0.415
South Asia,2007,4.219,19.812,31.082,0.063,0.296,0.464
South Asia,2008,4.328,20.391,34.691,0.064,0.303,0.515
South Asia,2009,4.677,17.107,39.01,0.069,0.253,0.576
South Asia,2010,5.677,19.868,45.405,0.083,0.292,0.667
South Asia,2011,5.546,21.061,54.297,0.081,0.307,0.793
South Asia,2012,5.799,21.174,58.69,0.084,0.307,0.852
South Asia,2013,6.608,19.768,61.382,0.095,0.285,0.885
South Asia,2014,7.103,18.491,,0.102,0.265,
South Asia,2015,7.487,19.716,,0.107,0.281,
South Asia (IDA & IBRD),1985,1.037,2.638,,0.017,0.044,
South Asia (IDA & IBRD),1986,1.005,2.585,,0.017,0.043,
South Asia (IDA & IBRD),1987,0.993,2.556,,0.016,0.042,
South Asia (IDA & IBRD),1988,0.999,2.496,,0.016,0.041,
South Asia (IDA & IBRD),1989,1,2.5,,0.016,0.041,
South Asia (IDA & IBRD),1990,1.081,2.962,,0.018,0.049,
South Asia (IDA & IBRD),1991,1.173,2.59,,0.019,0.042,
South Asia (IDA & IBRD),1992,1.161,2.505,,0.019,0.041,
South Asia (IDA & IBRD),1993,1.092,2.713,,0.018,0.044,
South Asia (IDA & IBRD),1994,1.376,3.188,,0.022,0.051,
South Asia (IDA & IBRD),1995,1.362,4.743,,0.022,0.076,
South Asia (IDA & IBRD),1996,1.361,6.184,,0.022,0.099,
South Asia (IDA & IBRD),1997,1.588,7.319,,0.025,0.116,
South Asia (IDA & IBRD),1998,1.78,6.232,,0.028,0.098,
South Asia (IDA & IBRD),1999,1.777,3.054,,0.028,0.048,
South Asia (IDA & IBRD),2000,1.726,5.755,16.31,0.027,0.09,0.254
South Asia (IDA & IBRD),2001,1.853,6.978,16.866,0.029,0.108,0.261
South Asia (IDA & IBRD),2002,2.027,7.149,17.826,0.031,0.11,0.274
South Asia (IDA & IBRD),2003,2.485,7.32,19.348,0.038,0.112,0.296
South Asia (IDA & IBRD),2004,2.86,10.03,20.996,0.043,0.152,0.319
South Asia (IDA & IBRD),2005,3.347,14.087,24.123,0.051,0.213,0.364
South Asia (IDA & IBRD),2006,3.873,16.558,27.652,0.058,0.249,0.415
South Asia (IDA & IBRD),2007,4.219,19.812,31.082,0.063,0.296,0.464
South Asia (IDA & IBRD),2008,4.328,20.391,34.691,0.064,0.303,0.515
South Asia (IDA & IBRD),2009,4.677,17.107,39.01,0.069,0.253,0.576
South Asia (IDA & IBRD),2010,5.677,19.868,45.405,0.083,0.292,0.667
South Asia (IDA & IBRD),2011,5.546,21.061,54.297,0.081,0.307,0.793
South Asia (IDA & IBRD),2012,5.799,21.174,58.69,0.084,0.307,0.852
South Asia (IDA & IBRD),2013,6.608,19.768,61.382,0.095,0.285,0.885
South Asia (IDA & IBRD),2014,7.103,18.491,,0.102,0.265,
South Asia (IDA & IBRD),2015,7.487,19.716,,0.107,0.281,
South Korea,1985,66.216,193.184,,0.947,2.762,
South Korea,1986,88.32,221.164,,1.249,3.129,
South Korea,1987,117.03,292.78,,1.633,4.086,
South Korea,1988,135.518,341.532,,1.864,4.698,
South Korea,1989,165.375,383.872,,2.246,5.213,
South Korea,1990,211.853,390.443,,2.849,5.25,
South Korea,1991,306.104,343.683,,4.07,4.57,
South Korea,1992,364.611,345.662,,4.814,4.564,
South Korea,1993,485.33,340.403,,6.378,4.473,
South Korea,1994,639.628,384.351,,8.361,5.024,
South Korea,1995,1313.464,427.361,,17.051,5.548,
South Korea,1996,1502.592,481.519,,19.452,6.233,
South Korea,1997,1465.805,551.1,,18.862,7.092,
South Korea,1998,1093.105,532.272,,13.964,6.799,
South Korea,1999,1200.643,529.253,,15.246,6.721,
South Korea,2000,1549.328,620.723,318.203,19.602,7.853,4.026
South Korea,2001,1556.127,652.267,361.419,19.571,8.203,4.545
South Korea,2002,1607.103,620.551,385.031,20.118,7.768,4.82
South Korea,2003,1885.751,591.702,455.227,23.492,7.371,5.671
South Korea,2004,2188.945,725.108,556.129,27.092,8.975,6.883
South Korea,2005,2535.833,803.847,641.822,31.131,9.868,7.879
South Korea,2006,2590.43,840.513,743.839,31.676,10.278,9.096
South Korea,2007,2643.619,899.029,825.735,32.198,10.95,10.057
South Korea,2008,2591.27,887.132,878.513,31.393,10.747,10.643
South Korea,2009,2582.064,734.305,906.227,31.066,8.835,10.903
South Korea,2010,2659.82,772.812,999.697,31.755,9.227,11.935
South Korea,2011,2764.183,818.838,1077.792,32.819,9.722,12.797
South Korea,2012,2950.925,812.333,1133.41,34.818,9.585,13.373
South Korea,2013,3172.348,884.632,1166.873,37.207,10.375,13.686
South Korea,2014,3233.178,910.779,,37.732,10.629,
South Korea,2015,3278.941,909.91,,38.124,10.579,
Spain,1985,55.862,237.825,,0.729,3.104,
Spain,1986,42.737,222.394,,0.553,2.877,
Spain,1987,44.462,66.951,,0.57,0.859,
Spain,1988,46.844,56.982,,0.596,0.725,
Spain,1989,53.75,59.7,,0.678,0.753,
Spain,1990,57.066,27.761,,0.713,0.347,
Spain,1991,55.33,19.145,,0.686,0.237,
Spain,1992,53.016,14.327,,0.652,0.176,
Spain,1993,55.003,14.303,,0.67,0.174,
Spain,1994,54.009,13.578,,0.653,0.164,
Spain,1995,51.53,13.921,,0.619,0.167,
Spain,1996,57.007,13.136,,0.68,0.157,
Spain,1997,55.845,12.382,,0.663,0.147,
Spain,1998,56.46,11.834,,0.667,0.14,
Spain,1999,60.391,12.529,,0.711,0.147,
Spain,2000,66.802,11.931,577.06,0.784,0.14,6.771
Spain,2001,61.884,11.432,608.998,0.724,0.134,7.127
Spain,2002,66.688,8.955,636.59,0.779,0.105,7.439
Spain,2003,66.678,8.699,655.562,0.779,0.102,7.656
Spain,2004,66.889,7.292,720.716,0.781,0.085,8.413
Spain,2005,69.64,7.17,806.288,0.813,0.084,9.41
Spain,2006,70.072,7.118,873.442,0.818,0.083,10.202
Spain,2007,72.236,5.859,913.578,0.844,0.068,10.677
Spain,2008,79.035,5.484,942.445,0.924,0.064,11.022
Spain,2009,77.562,4.465,1007.533,0.908,0.052,11.791
Spain,2010,76.562,4.573,1036.821,0.896,0.054,12.14
Spain,2011,73.38,4.193,1097.249,0.861,0.049,12.868
Spain,2012,69.827,4.468,1146.917,0.82,0.052,13.464
Spain,2013,64.908,4.676,1144.188,0.762,0.055,13.438
Spain,2014,63.531,4.841,,0.746,0.057,
Spain,2015,60.261,4.758,,0.708,0.056,
Sri Lanka,1985,1.769,5.053,,0.027,0.077,
Sri Lanka,1986,1.617,6.404,,0.024,0.097,
Sri Lanka,1987,2.509,5.508,,0.038,0.083,
Sri Lanka,1988,1.567,5.545,,0.023,0.083,
Sri Lanka,1989,1.663,5.582,,0.025,0.083,
Sri Lanka,1990,1.347,4.86,,0.02,0.072,
Sri Lanka,1991,1.907,5.316,,0.028,0.078,
Sri Lanka,1992,2.054,5.193,,0.03,0.075,
Sri Lanka,1993,2.764,4.343,,0.04,0.063,
Sri Lanka,1994,2.01,3.182,,0.029,0.046,
Sri Lanka,1995,4.205,6.252,,0.06,0.089,
Sri Lanka,1996,2.746,6.26,,0.039,0.088,
Sri Lanka,1997,4.421,10.533,,0.062,0.147,
Sri Lanka,1998,2.931,8.575,,0.041,0.119,
Sri Lanka,1999,6.421,13.382,,0.088,0.184,
Sri Lanka,2000,3.806,13.401,10.619,0.052,0.183,0.145
Sri Lanka,2001,6.384,12.555,10.592,0.087,0.171,0.144
Sri Lanka,2002,6.495,10.666,11.975,0.088,0.144,0.162
Sri Lanka,2003,4.978,9.904,13.625,0.067,0.134,0.184
Sri Lanka,2004,6.241,10.141,13.085,0.084,0.137,0.176
Sri Lanka,2005,7.691,10.891,16.982,0.103,0.146,0.228
Sri Lanka,2006,7.838,13.832,19.534,0.105,0.186,0.263
Sri Lanka,2007,7.677,14.185,22.061,0.103,0.191,0.296
Sri Lanka,2008,10.143,13.322,24.777,0.136,0.179,0.333
Sri Lanka,2009,10.116,10.016,24.079,0.136,0.134,0.323
Sri Lanka,2010,11.183,11.681,24.758,0.15,0.157,0.332
Sri Lanka,2011,9.57,11.593,28.469,0.128,0.155,0.381
Sri Lanka,2012,,,29.17,,,0.39
Sri Lanka,2013,15.934,9.133,34.642,0.212,0.122,0.462
Sri Lanka,2015,10.398,12.544,,0.138,0.166,
Sub-Saharan Africa,2000,,,9.942,,,0.179
Sub-Saharan Africa,2001,,,9.922,,,0.178
Sub-Saharan Africa,2002,,,10.716,,,0.193
Sub-Saharan Africa,2003,,,10.822,,,0.194
Sub-Saharan Africa,2004,,,11.697,,,0.209
Sub-Saharan Africa,2005,,,12.554,,,0.224
Sub-Saharan Africa,2006,,,14.461,,,0.258
Sub-Saharan Africa,2007,,,15.677,,,0.28
Sub-Saharan Africa,2008,,,16.04,,,0.286
Sub-Saharan Africa,2009,,,17.999,,,0.32
Sub-Saharan Africa,2010,,,19.34,,,0.343
Sub-Saharan Africa,2011,,,21.093,,,0.374
Sub-Saharan Africa,2012,,,20.715,,,0.367
Sub-Saharan Africa,2013,,,21.174,,,0.374
Sub-Saharan Africa (excluding high income),2000,,,9.936,,,0.179
Sub-Saharan Africa (excluding high income),2001,,,9.917,,,0.178
Sub-Saharan Africa (excluding high income),2002,,,10.707,,,0.192
Sub-Saharan Africa (excluding high income),2003,,,10.81,,,0.194
Sub-Saharan Africa (excluding high income),2004,,,11.692,,,0.209
Sub-Saharan Africa (excluding high income),2005,,,12.549,,,0.224
Sub-Saharan Africa (excluding high income),2006,,,14.451,,,0.258
Sub-Saharan Africa (excluding high income),2007,,,15.663,,,0.28
Sub-Saharan Africa (excluding high income),2008,,,16.028,,,0.286
Sub-Saharan Africa (excluding high income),2009,,,17.992,,,0.32
Sub-Saharan Africa (excluding high income),2010,,,19.333,,,0.343
Sub-Saharan Africa (excluding high income),2011,,,21.084,,,0.374
Sub-Saharan Africa (excluding high income),2012,,,20.706,,,0.366
Sub-Saharan Africa (excluding high income),2013,,,21.16,,,0.373
Sub-Saharan Africa (IDA & IBRD),2000,,,9.942,,,0.179
Sub-Saharan Africa (IDA & IBRD),2001,,,9.922,,,0.178
Sub-Saharan Africa (IDA & IBRD),2002,,,10.716,,,0.193
Sub-Saharan Africa (IDA & IBRD),2003,,,10.822,,,0.194
Sub-Saharan Africa (IDA & IBRD),2004,,,11.697,,,0.209
